Sub_Division,YEAR,JUN,JUL,AUG,SEP,JUN-SEP,AVG_RAINFALL,YOY_CHANGE,LAG_1,LAG_2
ASSAM & MEGHALAYA,1911,536.8,617.3,417.4,388.7,1960.3,490.05,-31.5,1991.8,1655.1
ASSAM & MEGHALAYA,1912,486.6,566.2,453.9,236.7,1743.5,435.8500000000001,-216.79999999999995,1960.3,1991.8
ASSAM & MEGHALAYA,1913,462.3,438.0,355.0,280.9,1536.1,384.04999999999995,-207.4000000000001,1743.5,1960.3
ASSAM & MEGHALAYA,1914,404.8,397.3,471.5,291.0,1564.6,391.15,28.5,1536.1,1743.5
ASSAM & MEGHALAYA,1915,513.6,736.9,530.9,260.7,2042.1,510.52500000000003,477.5,1564.6,1536.1
ASSAM & MEGHALAYA,1916,367.9,478.0,433.8,310.1,1589.8,397.45000000000005,-452.29999999999995,2042.1,1564.6
ASSAM & MEGHALAYA,1917,586.5,474.5,348.2,312.5,1721.6,430.425,131.79999999999995,1589.8,2042.1
ASSAM & MEGHALAYA,1918,660.4,808.4,607.2,373.1,2449.1,612.275,727.5,1721.6,1589.8
ASSAM & MEGHALAYA,1919,488.6,461.1,250.0,441.2,1640.9,410.225,-808.1999999999998,2449.1,1721.6
ASSAM & MEGHALAYA,1920,524.8,311.1,526.3,385.2,1747.3,436.84999999999997,106.39999999999986,1640.9,2449.1
ASSAM & MEGHALAYA,1921,607.8,543.1,431.3,335.9,1918.1,479.525,170.79999999999995,1747.3,1640.9
ASSAM & MEGHALAYA,1922,553.9,420.6,379.9,267.2,1621.6,405.40000000000003,-296.5,1918.1,1747.3
ASSAM & MEGHALAYA,1923,591.4,376.2,269.4,360.0,1597.0,399.25,-24.59999999999991,1621.6,1918.1
ASSAM & MEGHALAYA,1924,475.2,613.0,435.3,345.6,1869.1,467.275,272.0999999999999,1597.0,1621.6
ASSAM & MEGHALAYA,1925,332.6,411.8,403.2,323.3,1470.8,367.725,-398.29999999999995,1869.1,1597.0
ASSAM & MEGHALAYA,1926,558.9,576.9,355.8,190.5,1682.1,420.525,211.29999999999995,1470.8,1869.1
ASSAM & MEGHALAYA,1927,575.8,449.9,368.7,551.7,1946.0,486.525,263.9000000000001,1682.1,1470.8
ASSAM & MEGHALAYA,1928,423.0,432.0,450.5,344.5,1650.0,412.5,-296.0,1946.0,1682.1
ASSAM & MEGHALAYA,1929,645.8,386.5,333.3,291.6,1657.1,414.29999999999995,7.099999999999909,1650.0,1946.0
